Name	Drvid	Team	IRating	SR	Flag	DriverRank	FairnessRating	ErstesRennen	LetztesRennen	LetztePlatzierung	DurchschnittPlatzierung	Poles	Rennen	Finish	Quote	Titel	HeisseEisenTitel	Distanz	FuehrungsKm	Incidents	RawPunkte	Punkte	Strafpunkte	PunkteProRennen	BestQuali	BestErgebnis	Siege	Podium	Top5	Top10	Top15	Top20	CleanestDriver	HardCharger	SchnellsteRunde	SeasonPosition	License	RankValue	IsCurrentChamp	IsCurrentHeChamp	
Andreas Iwaschtschenko2	45183	-	2910	4,99	AT	SilberPlus	1,4879	7/22/2019 - Sebring International	4/27/2020 - Spa GP Pits	23	9,7	0	27	22	81	0	0	2020,205	40,558	116	354	329	-25	12	2	2	0	6	10	13	16	21	6	0	1	0	Class A	4	False	False	
Markus Unkhoff	49103	Ahrtal Motorsport SimRacing	986	3,33			100	4/6/2020 - Charlotte Roval	4/20/2020 - Industriefahrten	22	22	0	2	1	50	0	0	145,775	0	5	8	4	-4	2	22	22	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Wolfgang Reicht	46940	Speedworld Junior Team	959	2,29	AT		4,2083	12/2/2019 - Silverstone Grand Prix	4/20/2020 - Industriefahrten	24	19,2	0	11	8	73	0	0	679,928	0	85	59	31	-28	2	15	12	0	0	0	0	2	5	1	0	0	0	Class B	0	False	False	
Simon Grossmann	21414	SimRC.de	5833	4,99	DE		100	3/16/2020 - Okayama Full	4/20/2020 - Industriefahrten	26	4	0	5	2	40	0	0	151,042	3,724	22	48	47	-1	9	3	1	1	1	1	2	2	2	0	0	0	0	Class A	0	False	False	
Hakan Argun	49101	Speedworld Junior Team	619	2,75	AT		100	4/6/2020 - Charlotte Roval	4/13/2020 - VIR Full	27	11	0	2	1	50	0	0	69,711	0	13	14	14	0	7	15	11	0	0	0	0	1	1	0	0	0	0	Class D	0	False	False	
Alexander Nichotz	41367	Vicit eMotorsport Team	909	3,71	DE		0,5524	1/14/2019 - Mid-Ohio Full	4/6/2020 - Charlotte Roval	25	27,9	0	8	7	88	0	0	509,675	0	43	7	6	-1	0	19	20	0	0	0	0	0	1	0	0	0	0	Class C	0	False	False	
Felix Luding	46337	SimRC.de	7232	3,08	DE	Bronze	100	10/28/2019 - Phoenix 2008 Road	4/6/2020 - Charlotte Roval	28	3,8	1	10	6	60	0	0	445,184	32,77	58	141	137	-4	13	1	2	0	3	5	6	6	6	0	0	0	0	Class A	1	False	False	
Bernd Oswald	35939	ART Austria Racing Team	3339	4,41	AT	Gold	0,4606	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	3/23/2020 - Barcelona National	27	9,9	2	47	44	94	0	0	3474,871	147,469	154	743	733	-10	15	1	1	2	9	24	30	34	38	11	1	0	0	Class A	5	False	False	
Florian Schaden	48564	-	796	2,24	AT		100	3/16/2020 - Okayama Full	3/16/2020 - Okayama Full	17	17	0	1	1	100	0	0	52,136	0	1	8	8	0	8	24	17	0	0	0	0	0	1	0	0	0	0	Class C	0	False	False	
Martin Bauermann	41044	RMD Motorsport	1749	2,39	DE	BronzePlus	0,9154	1/7/2019 - Interlagos Grand Prix	3/16/2020 - Okayama Full	20	14,3	0	30	26	87	0	0	2206,931	0	222	291	282	-9	9	9	4	0	0	1	6	17	25	1	3	0	0	Class A	2	False	False	
Andrea Aymon	36682	Lapped Turtles	4613	4,87	CH	Gold	0,8072	2/12/2018 - Mazda Raceway Laguna Seca Full Course	3/16/2020 - Okayama Full	22	5,8	5	38	37	97	0	0	2715,917	273,671	223	738	723	-15	19	1	1	4	14	25	31	34	36	4	0	9	0	Class A	5	False	False	
Willi Schwabauer	45803	-	2058	2,66	DE	BronzePlus	0,959	9/16/2019 - Summit Point	3/16/2020 - Okayama Full	23	11,9	0	14	13	93	0	0	1063,433	0	97	190	184	-6	13	7	5	0	0	2	8	10	11	0	3	0	0	Class A	2	False	False	
Christian Siebrecht	45802	-	1936	3,58	DE	Bronze	1,0542	9/16/2019 - Summit Point	3/2/2020 - Silverstone National	12	16,6	0	16	16	100	0	0	1262,287	0	73	163	151	-12	9	11	9	0	0	0	2	8	12	1	3	0	0	Class B	1	False	False	
Djeijn Dobric	47299	Speedworld Junior Team	0	2,88	AT		100	12/16/2019 - Summit Point	3/2/2020 - Silverstone National	15	27	0	2	2	100	0	0	194,626	0	19	11	7	-4	3	12	15	0	0	0	0	1	1	0	0	0	0	Rookie	0	False	False	
Simon Mayer	47849	-	2188	3,35			100	1/27/2020 - Oran Park Moto	3/2/2020 - Silverstone National	19	17,2	0	4	4	100	0	0	285,814	0	27	30	29	-1	7	17	11	0	0	0	0	2	3	0	1	0	0	Class C	0	False	False	
Tim Berti	25941	SimRC.de	5102	4,84	DE	Platin	0,2914	9/25/2017 - Silverstone Circuit National	3/2/2020 - Silverstone National	22	3,9	10	37	35	95	1	0	2631,082	577,207	138	848	847	-1	22	1	1	10	26	27	31	33	36	13	1	7	0	Class A	9	False	False	
Patrick Jung	27515	SimRC.de	3063	3,12	DE		100	5/7/2018 - Circuit de Spa-Francorchamps Classic Pits	3/2/2020 - Silverstone National	23	20,7	0	4	2	50	0	0	212,343	0	49	23	16	-7	4	11	17	0	0	0	0	0	1	0	0	0	0	Class A	0	False	False	
Markus Feirer	48435	-	1342	4,99	DE		100	3/2/2020 - Silverstone National	3/2/2020 - Silverstone National	26	26	0	1	1	100	0	0	118,71	0	6	7	-5	-12	-5	8	26	0	0	0	0	0	0	0	0	0	0	Class C	0	False	False	
Patrick R Kessler	37385	SimRC.de	5107	4,99	CH		0,5619	5/7/2018 - Circuit de Spa-Francorchamps Classic Pits	2/24/2020 - Barcelona Historic	11	18,4	0	7	7	100	0	0	433,972	0	14	53	50	-3	7	14	11	0	0	0	0	2	4	4	0	0	0	Class A	0	False	False	
Andreas Mütz2	47298	Satzmit17x	2541	4,09	DE	Bronze	100	12/16/2019 - Summit Point	2/24/2020 - Barcelona Historic	17	16,4	0	5	5	100	0	0	367,797	0	16	50	50	0	10	8	6	0	0	0	1	2	4	2	0	0	0	Class A	1	False	False	
Steffen Herrmann	36402	SimRC.de	6427	2,23	DE	Bronze	100	12/16/2019 - Summit Point	2/24/2020 - Barcelona Historic	19	13,8	0	5	5	100	0	0	351,443	0	49	61	60	-1	12	6	9	0	0	0	2	3	5	0	1	0	0	Class A	1	False	False	
Helmut Baum	45459	Speedworld Academy	3501	3,23	DE	Silber	1,3515	8/19/2019 - Watkins Glen Cup	2/24/2020 - Barcelona Historic	26	7,8	3	13	11	85	0	0	926,831	127,661	43	223	211	-12	16	1	1	2	3	5	8	10	11	2	0	1	0	Class A	3	False	False	
Jochen Friedrich	46217	Satzmit17x	3345	3,09	DE	BronzePlus	0,8278	10/14/2019 - Outlon Park Fosters	2/17/2020 - Oulton Park Island Historic	13	10,3	0	14	12	86	0	0	941,214	0	59	187	181	-6	12	2	4	0	0	1	7	10	12	4	0	0	0	Class A	2	False	False	
Jörn Kretzschmar	45800	-	1495	3,18	DE	Bronze	0,7056	9/16/2019 - Summit Point	2/17/2020 - Oulton Park Island Historic	15	19,6	0	14	12	86	0	0	825,021	0	52	89	84	-5	6	18	10	0	0	0	1	3	9	2	0	0	0	Class A	1	False	False	
Alexander Burghardt	47301	-	1545	3,47			100	12/16/2019 - Summit Point	2/10/2020 - New Hampshire Road	11	21,5	0	8	6	75	0	0	528,738	0	31	34	26	-8	3	18	11	0	0	0	0	1	2	1	0	0	0	Class B	0	False	False	
Timo Siebert	39608	Newman-Simracing	2073	3,53	DE	Bronze	1,2293	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	2/10/2020 - New Hampshire Road	15	18,2	0	29	25	86	0	0	2341,776	0	221	174	158	-16	5	7	6	0	0	0	4	12	18	2	0	0	0	Class A	1	False	False	
Andreas Buchmann	35303	-	2075	4,8	AT	Silber	0,26	10/23/2017 - Phillip Island Circuit	2/3/2020 - Zandvoort Grand Prix	12	11,3	0	30	30	100	0	0	2040,76	11,588	87	399	397	-2	13	3	5	0	0	2	17	26	28	8	0	0	0	Class B	3	False	False	
Philipp Biel	47297	-	1497	3,26			100	12/16/2019 - Summit Point	1/20/2020 - Phillip Island	20	26	0	5	3	60	0	0	332,89	0	21	16	12	-4	2	21	14	0	0	0	0	1	2	0	0	0	0	Class C	0	False	False	
Steve Ilija2	39496	Ahrtal Motorsport SimRacing	934	2,79		Bronze	1,7487	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	1/20/2020 - Phillip Island	25	18,1	0	20	13	65	0	0	1391,69	0	131	107	93	-14	4	7	10	0	0	0	1	8	11	1	3	0	0	Class C	1	False	False	
Roman Cajka	34590	Positive SimRacing	2107	2,64	CH	Gold	1,2261	9/25/2017 - Silverstone Circuit National	1/20/2020 - Phillip Island	29	8,1	0	26	23	88	0	0	1663,835	7,66	228	424	411	-13	15	2	1	1	6	12	18	21	21	0	1	1	0	Class A	5	False	False	
Marcel Huwyler	26395	Motedis SimRacing	4487	3,5	CH		100	1/7/2019 - Interlagos Grand Prix	1/6/2020 - Tsukuba 2000 Full	18	10,3	0	6	3	50	0	0	290,69	0	33	40	38	-2	6	8	4	0	0	1	2	2	3	1	2	0	0	Class A	0	False	False	
Uwe Länger	25734	Motedis SimRacing	1959	2,06	DE	Bronze	1,2519	9/25/2017 - Silverstone Circuit National	1/6/2020 - Tsukuba 2000 Full	24	16,1	0	9	9	100	0	0	503,382	0	49	92	84	-8	9	11	8	0	0	0	2	4	6	0	0	0	0	Class A	1	False	False	
Andreas Moor	47483	-	2080	2,89	DE		100	12/30/2019 - Brands Hatch Grand Prix	1/6/2020 - Tsukuba 2000 Full	40	0	0	2	0	0	0	0	64,995	0	15	0	0	0	0	22	29	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Julien Werner	38345	-	296	1,95			100	1/6/2020 - Tsukuba 2000 Full	1/6/2020 - Tsukuba 2000 Full	45	45	0	1	1	100	0	0	44,968	0	6	0	-3	-3	-3	40	45	0	0	0	0	0	0	0	0	0	0	Class D	0	False	False	
Sebastian Gesche	45798	Element Simracing	2271	4,68	DE		100	9/16/2019 - Summit Point	12/30/2019 - Brands Hatch Grand Prix	19	16,2	0	5	4	80	0	0	350,829	0	24	39	36	-3	7	20	14	0	0	0	0	2	4	1	1	0	0	Class A	0	False	False	
Marcel Seidel	25464	Damaged Beyond Recognition	2195	2,43	DE	Silber	0,3838	9/25/2017 - Silverstone Circuit National	12/23/2019 - Circuit Gilles Villeneuve	10	10	0	34	33	97	0	0	2375,819	46,352	190	472	472	0	13	3	2	0	4	8	23	29	32	4	5	0	0	Class A	3	False	False	
Marko Winkler2	39770	Vicit eMotorsport Team	1863	2,69	DE	Bronze	0,9	9/24/2018 - Twin Ring Motegi East	12/23/2019 - Circuit Gilles Villeneuve	17	14,4	0	16	12	75	0	0	1247,825	0	102	120	116	-4	7	7	8	0	0	0	4	7	11	0	0	0	0	Class B	1	False	False	
Jens Paul	22592	-	1261	2,39	DE		100	12/23/2019 - Circuit Gilles Villeneuve	12/23/2019 - Circuit Gilles Villeneuve	32	0	0	1	0	0	0	0	13,083	0	6	0	0	0	0	41	32	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Joern Tietje	41203	-	2124	3,81	DE	Eisen	0,8	1/7/2019 - Interlagos Grand Prix	12/23/2019 - Circuit Gilles Villeneuve	37	14,8	0	46	45	98	0	1	3779,285	0	195	438	415	-23	9	3	3	0	3	7	17	26	34	9	2	0	0	Class A	7	False	False	
Daniel Asbrock	47391	Vicit eMotorsport Team	0	2,5	DE		100	12/23/2019 - Circuit Gilles Villeneuve	12/23/2019 - Circuit Gilles Villeneuve	39	39	0	1	1	100	0	0	43,61	0	17	0	-7	-7	-7	38	39	0	0	0	0	0	0	0	0	0	0	Rookie	0	False	False	
Andre Heuser	47392	-	1039	2,43	DE		100	12/23/2019 - Circuit Gilles Villeneuve	12/23/2019 - Circuit Gilles Villeneuve	40	0	0	1	0	0	0	0	30,527	0	8	0	-7	-7	-7	35	40	0	0	0	0	0	0	0	0	0	0	Class C	0	False	False	
Jens Weber	24548	-	1489	3,1	DE		0,6	9/16/2019 - Summit Point	12/16/2019 - Summit Point	24	19,2	0	12	11	92	0	0	831,374	0	69	76	74	-2	6	15	11	0	0	0	0	2	8	0	1	0	0	Class A	0	False	False	
Marcel Raupach	47302	-	2894	3,44	DE		100	12/16/2019 - Summit Point	12/16/2019 - Summit Point	32	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42	32	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Rudolf Hemetsberger	9397	-	1261	4,86			100	12/2/2019 - Silverstone Grand Prix	12/2/2019 - Silverstone Grand Prix	20	20	0	1	0	0	0	0	98,498	0	5	7	6	-1	6	18	20	0	0	0	0	0	1	0	0	0	0	Class C	0	False	False	
Ralf Grauer	46863	-	2028	3,32	DE		100	11/18/2019 - Summit Point	11/25/2019 - Sebring International	20	20,5	0	2	2	100	0	0	94,596	0	17	11	10	-1	5	12	20	0	0	0	0	0	1	0	0	0	0	Class B	0	False	False	
Hagen Leibbrand	41364	Damaged Beyond Recognition	2864	4,09	DE	Silber	0,5804	1/14/2019 - Mid-Ohio Full	11/18/2019 - Summit Point	23	7,1	1	22	17	77	0	0	1421,685	64,554	88	328	324	-4	14	1	1	2	7	11	13	17	17	2	3	2	0	Class A	3	False	False	
Josef Zatko	45962	-	1309	2,26	DE		100	9/23/2019 - Brands Hatch Indy	11/11/2019 - Road America Full	18	21,8	0	5	5	100	0	0	436,851	0	44	26	20	-6	4	16	18	0	0	0	0	0	2	0	0	0	0	Class A	0	False	False	
Werner Geiser	46482	-	1196	4,46	CH		100	11/4/2019 - Oran Park Grand Prix	11/11/2019 - Road America Full	21	16,5	0	2	2	100	0	0	192,863	0	6	19	19	0	9	18	12	0	0	0	0	1	1	0	0	0	0	Class C	0	False	False	
Daniel Muth	34589	Damaged Beyond Recognition	4040	4,35	DE	GoldPlus	0,6295	9/25/2017 - Silverstone Circuit National	11/4/2019 - Oran Park Grand Prix	2	8,8	5	46	43	93	0	0	2886,193	477,932	301	778	771	-7	16	1	1	6	17	20	28	35	40	2	2	5	0	Class B	6	False	False	
Bernd Pfaff	45797	BP Motorsport	1774	2,52	DE		100	9/16/2019 - Summit Point	10/28/2019 - Phoenix 2008 Road	19	17,6	0	5	5	100	0	0	358,918	0	25	48	38	-10	7	14	12	0	0	0	0	3	4	0	1	0	0	Class A	0	False	False	
Michael Reumel	19519	-	1775	4,22	DE	Silber	0,6759	1/15/2018 - Virginia International Raceway Grand West	10/28/2019 - Phoenix 2008 Road	23	10,7	0	68	36	53	0	0	3285,697	8,598	170	575	562	-13	8	6	3	0	1	4	23	32	43	18	1	0	0	Class A	3	False	False	
Detlef Werner	45801	-	1355	3,12	DE		100	9/16/2019 - Summit Point	10/14/2019 - Outlon Park Fosters	20	17	0	5	4	80	0	0	308,576	0	38	34	31	-3	6	13	14	0	0	0	0	1	4	0	0	0	0	Class C	0	False	False	
Wolfgang Loder	45807	-	1197	2,63	AT		100	9/16/2019 - Summit Point	10/14/2019 - Outlon Park Fosters	23	25,5	0	2	2	100	0	0	104,416	0	20	2	2	0	1	25	23	0	0	0	0	0	0	0	0	0	0	Class C	0	False	False	
Kai Schweitzer	44708	-	1275	3,12	DE	Bronze	1,1333	6/17/2019 - Okayama Full	10/7/2019 - Suzuka Grand Prix	25	12,9	0	8	8	100	0	0	679,981	0	46	73	67	-6	8	10	8	0	0	0	3	7	7	0	0	0	0	Class A	1	False	False	
Markos Meyer	40954	-	1587	1,73	DE	BronzePlus	0,6549	1/7/2019 - Interlagos Grand Prix	9/30/2019 - New Hampshire South Oval	11	12,4	0	18	17	94	0	0	1493,731	0	122	190	187	-3	10	7	4	0	0	1	7	12	18	0	3	0	0	Class B	2	False	False	
Dmytro Goncharov	34011	-	1540	2,62	DE		100	9/16/2019 - Summit Point	9/30/2019 - New Hampshire South Oval	16	14	0	2	2	100	0	0	179,554	0	7	23	23	0	11	20	12	0	0	0	0	1	2	0	0	0	0	Class B	0	False	False	
Matthias Wurm	10460	-	1628	2,3	DE		100	9/30/2019 - New Hampshire South Oval	9/30/2019 - New Hampshire South Oval	21	0	0	1	0	0	0	0	0	0	2	4	4	0	4	10	21	0	0	0	0	0	0	0	0	0	0	Class B	0	False	False	
Lukas Klein	45799	-	1367	3,1	DE		100	9/16/2019 - Summit Point	9/23/2019 - Brands Hatch Indy	9	14	0	2	2	100	0	0	103,62	0	10	26	23	-3	11	10	9	0	0	0	1	1	2	0	0	0	0	Class D	0	False	False	
Dennis Mors	45804	-	1637	2,92	DE		100	9/16/2019 - Summit Point	9/23/2019 - Brands Hatch Indy	12	19,5	0	2	2	100	0	0	97,248	0	14	14	14	0	7	23	12	0	0	0	0	1	1	0	1	0	0	Class A	0	False	False	
Fabian Kreis	45964	-	1120	2,72	CH		100	9/23/2019 - Brands Hatch Indy	9/23/2019 - Brands Hatch Indy	21	21	0	1	1	100	0	0	42,416	0	9	3	3	0	3	24	21	0	0	0	0	0	0	0	0	0	0	Class C	0	False	False	
Tim Matzke	38617	Maniti Racing	4976	2,27	DE	Silber	1,2	3/18/2019 - Summit Point	9/23/2019 - Brands Hatch Indy	27	4,7	0	14	11	79	0	0	1049,948	58,789	123	204	199	-5	14	2	1	1	4	8	12	12	12	0	1	1	0	Class A	3	False	False	
Stephan Faessler	45965	-	1167	2,71			100	9/23/2019 - Brands Hatch Indy	9/23/2019 - Brands Hatch Indy	30	0	0	1	0	0	0	0	17,352	0	10	0	-4	-4	-4	27	30	0	0	0	0	0	0	0	0	0	0	Class D	0	False	False	
Andreas Wiese	45796	Wiese SimRacing	1496	2,8	DE		100	9/16/2019 - Summit Point	9/16/2019 - Summit Point	10	10	0	1	1	100	0	0	57,348	0	1	16	16	0	16	17	10	0	0	0	1	1	1	0	0	0	0	Class B	0	False	False	
Stefan Hohmann	8950	-	1394	2,74	DE		100	9/16/2019 - Summit Point	9/16/2019 - Summit Point	22	22	0	1	1	100	0	0	57,348	0	0	3	3	0	3	22	22	0	0	0	0	0	0	1	0	0	0	Class A	0	False	False	
Andreas Topp	25735	-	798	4,15	DE		100	9/16/2019 - Summit Point	9/16/2019 - Summit Point	25	25	0	1	1	100	0	0	54,162	0	0	0	0	0	0	32	25	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Niklas Rex	45805	-	1201	2,79	DE		100	9/16/2019 - Summit Point	9/16/2019 - Summit Point	34	34	0	1	1	100	0	0	50,976	0	11	0	-3	-3	-3	26	34	0	0	0	0	0	0	0	0	0	0	Class D	0	False	False	
Patrick Grocholla	45806	-	1334	2,71	DE		100	9/16/2019 - Summit Point	9/16/2019 - Summit Point	35	35	0	1	1	100	0	0	50,976	0	8	0	-4	-4	-4	31	35	0	0	0	0	0	0	0	0	0	0	Class D	0	False	False	
Urs Müller	40652	-	1646	3,28	CH	BronzePlus	0,6139	1/7/2019 - Interlagos Grand Prix	9/2/2019 - Suzuka Grand Prix	7	12,8	0	26	24	92	0	0	2117,404	0	161	252	248	-4	9	4	4	0	0	3	8	20	24	2	4	0	0	Class B	2	False	False	
Christian Greule	34606	Damaged Beyond Recognition	1711	2,21	DE	Silber	0,6444	9/25/2017 - Silverstone Circuit National	8/26/2019 - Silverstone Grand Prix	6	13,7	0	46	45	98	0	0	3062,976	0	195	522	506	-16	11	4	5	0	0	1	15	29	40	5	1	0	0	Class A	3	False	False	
Michael Grellmann	44706	-	1212	4,97	DE	Bronze	100	6/17/2019 - Okayama Full	8/5/2019 - New Hampshire South Oval	12	12,8	0	6	6	100	0	0	415,263	0	23	47	46	-1	7	9	8	0	0	0	2	4	6	2	1	0	0	Class C	1	False	False	
Matthias Hoennscheidt	45258	-	2293	3,14	DE		100	7/29/2019 - Laguna Seca	7/29/2019 - Laguna Seca	3	3	0	1	1	100	0	0	54,03	0	2	19	19	0	19	4	3	0	1	1	1	1	1	0	0	0	0	Class A	0	False	False	
Ralph Obst	45260	-	1426	2,53	DE		100	7/29/2019 - Laguna Seca	7/29/2019 - Laguna Seca	7	7	0	1	1	100	0	0	54,03	0	4	13	13	0	13	19	7	0	0	0	1	1	1	0	0	0	0	Class B	0	False	False	
Kevin T. Kreser	44710	-	2337	3,45	DE	Bronze	100	6/17/2019 - Okayama Full	7/29/2019 - Laguna Seca	18	9,4	0	7	5	71	0	0	434,939	0	49	66	65	-1	9	3	5	0	0	1	3	5	7	1	1	0	0	Class C	1	False	False	
Stefan Kaczykowski	34926	-	734	2,43	DE		100	6/17/2019 - Okayama Full	7/8/2019 - Oran Park Grand Prix	12	14	0	3	2	67	0	0	102,97	0	13	14	14	0	4	14	12	0	0	0	0	1	3	0	0	0	0	Class C	0	False	False	
Lukas Dearing2	44825	Schnitzel Racing	1746	3,42	AT		100	6/24/2019 - Road Atlanta Full	7/1/2019 - Road America Full	10	11	0	2	2	100	0	0	211,165	0	16	23	19	-4	9	6	10	0	0	0	1	2	2	0	0	0	0	Class B	0	False	False	
